family	block	q	order	profile
F9-R1	7	2	1	NO_R2_CANON
F9-R1	7	2	2	NO_R1_NO_R2
F9-R1	7	2	3	DEFAULT
F9-R1	7	2	4	NO_R1_FACTOR
F9-R1	7	4	1	DEFAULT
F9-R1	7	4	2	NO_R2_CANON
F9-R1	7	4	3	NO_R1_FACTOR
F9-R1	7	4	4	NO_R1_NO_R2
F9-R1	7	8	1	NO_R1_NO_R2
F9-R1	7	8	2	NO_R2_CANON
F9-R1	7	8	3	NO_R1_FACTOR
F9-R1	7	8	4	DEFAULT
F9-R1	7	16	1	NO_R2_CANON
F9-R1	7	16	2	DEFAULT
F9-R1	7	16	3	NO_R1_FACTOR
F9-R1	7	16	4	NO_R1_NO_R2
F9-R1	7	32	1	NO_R2_CANON
F9-R1	7	32	2	DEFAULT
F9-R1	7	32	3	NO_R1_NO_R2
F9-R1	7	32	4	NO_R1_FACTOR
F9-R1	8	1	1	NO_R1_FACTOR
F9-R1	8	1	2	NO_R2_CANON
F9-R1	8	1	3	NO_R1_NO_R2
F9-R1	8	1	4	DEFAULT
F9-R1	8	2	1	NO_R1_NO_R2
F9-R1	8	2	2	NO_R2_CANON
F9-R1	8	2	3	DEFAULT
F9-R1	8	2	4	NO_R1_FACTOR
F9-R1	8	4	1	DEFAULT
F9-R1	8	4	2	NO_R1_NO_R2
F9-R1	8	4	3	NO_R2_CANON
F9-R1	8	4	4	NO_R1_FACTOR
F9-R1	8	8	1	DEFAULT
F9-R1	8	8	2	NO_R2_CANON
F9-R1	8	8	3	NO_R1_NO_R2
F9-R1	8	8	4	NO_R1_FACTOR
F9-R1	8	16	1	DEFAULT
F9-R1	8	16	2	NO_R2_CANON
F9-R1	8	16	3	NO_R1_NO_R2
F9-R1	8	16	4	NO_R1_FACTOR
F9-R1	8	32	1	NO_R1_NO_R2
F9-R1	8	32	2	NO_R1_FACTOR
F9-R1	8	32	3	DEFAULT
F9-R1	8	32	4	NO_R2_CANON
F9-R1	9	1	1	DEFAULT
F9-R1	9	1	2	NO_R2_CANON
F9-R1	9	1	3	NO_R1_NO_R2
F9-R1	9	1	4	NO_R1_FACTOR
F9-R1	9	2	1	NO_R1_NO_R2
F9-R1	9	2	2	NO_R2_CANON
F9-R1	9	2	3	NO_R1_FACTOR
F9-R1	9	2	4	DEFAULT
F9-R1	9	4	1	DEFAULT
F9-R1	9	4	2	NO_R1_NO_R2
F9-R1	9	4	3	NO_R1_FACTOR
F9-R1	9	4	4	NO_R2_CANON
F9-R1	9	8	1	NO_R2_CANON
F9-R1	9	8	2	NO_R1_NO_R2
F9-R1	9	8	3	NO_R1_FACTOR
F9-R1	9	8	4	DEFAULT
F9-R1	9	16	1	DEFAULT
F9-R1	9	16	2	NO_R1_NO_R2
F9-R1	9	16	3	NO_R2_CANON
F9-R1	9	16	4	NO_R1_FACTOR
F9-R1	9	32	1	NO_R2_CANON
F9-R1	9	32	2	DEFAULT
F9-R1	9	32	3	NO_R1_FACTOR
F9-R1	9	32	4	NO_R1_NO_R2
F9-R1	10	1	1	NO_R1_NO_R2
F9-R1	10	1	2	DEFAULT
F9-R1	10	1	3	NO_R2_CANON
F9-R1	10	1	4	NO_R1_FACTOR
F9-R1	10	2	1	DEFAULT
F9-R1	10	2	2	NO_R1_NO_R2
F9-R1	10	2	3	NO_R1_FACTOR
F9-R1	10	2	4	NO_R2_CANON
F9-R1	10	4	1	NO_R1_FACTOR
F9-R1	10	4	2	NO_R2_CANON
F9-R1	10	4	3	DEFAULT
F9-R1	10	4	4	NO_R1_NO_R2
F9-R1	10	8	1	NO_R2_CANON
F9-R1	10	8	2	NO_R1_NO_R2
F9-R1	10	8	3	NO_R1_FACTOR
F9-R1	10	8	4	DEFAULT
F9-R1	10	16	1	NO_R2_CANON
F9-R1	10	16	2	NO_R1_FACTOR
F9-R1	10	16	3	DEFAULT
F9-R1	10	16	4	NO_R1_NO_R2
F9-R1	10	32	1	NO_R2_CANON
F9-R1	10	32	2	NO_R1_NO_R2
F9-R1	10	32	3	NO_R1_FACTOR
F9-R1	10	32	4	DEFAULT
F9-R1	11	1	1	NO_R1_NO_R2
F9-R1	11	1	2	DEFAULT
F9-R1	11	1	3	NO_R1_FACTOR
F9-R1	11	1	4	NO_R2_CANON
F9-R1	11	2	1	NO_R1_FACTOR
F9-R1	11	2	2	NO_R1_NO_R2
F9-R1	11	2	3	NO_R2_CANON
F9-R1	11	2	4	DEFAULT
F9-R1	11	4	1	NO_R2_CANON
F9-R1	11	4	2	NO_R1_FACTOR
F9-R1	11	4	3	DEFAULT
F9-R1	11	4	4	NO_R1_NO_R2
F9-R1	11	8	1	DEFAULT
F9-R1	11	8	2	NO_R1_FACTOR
F9-R1	11	8	3	NO_R2_CANON
F9-R1	11	8	4	NO_R1_NO_R2
F9-R1	11	16	1	NO_R2_CANON
F9-R1	11	16	2	DEFAULT
F9-R1	11	16	3	NO_R1_FACTOR
F9-R1	11	16	4	NO_R1_NO_R2
F9-R1	11	32	1	NO_R2_CANON
F9-R1	11	32	2	NO_R1_NO_R2
F9-R1	11	32	3	DEFAULT
F9-R1	11	32	4	NO_R1_FACTOR
F9-R1	12	1	1	DEFAULT
F9-R1	12	1	2	NO_R1_FACTOR
F9-R1	12	1	3	NO_R1_NO_R2
F9-R1	12	1	4	NO_R2_CANON
F9-R1	12	2	1	NO_R1_NO_R2
F9-R1	12	2	2	NO_R1_FACTOR
F9-R1	12	2	3	DEFAULT
F9-R1	12	2	4	NO_R2_CANON
F9-R1	12	4	1	NO_R1_FACTOR
F9-R1	12	4	2	NO_R1_NO_R2
F9-R1	12	4	3	DEFAULT
F9-R1	12	4	4	NO_R2_CANON
F9-R1	12	8	1	NO_R1_FACTOR
F9-R1	12	8	2	DEFAULT
F9-R1	12	8	3	NO_R1_NO_R2
F9-R1	12	8	4	NO_R2_CANON
F9-R1	12	16	1	NO_R1_NO_R2
F9-R1	12	16	2	NO_R2_CANON
F9-R1	12	16	3	DEFAULT
F9-R1	12	16	4	NO_R1_FACTOR
F9-R1	12	32	1	NO_R2_CANON
F9-R1	12	32	2	NO_R1_FACTOR
F9-R1	12	32	3	NO_R1_NO_R2
F9-R1	12	32	4	DEFAULT
F9-R1	13	1	1	NO_R1_NO_R2
F9-R1	13	1	2	NO_R2_CANON
F9-R1	13	1	3	DEFAULT
F9-R1	13	1	4	NO_R1_FACTOR
F9-R1	13	2	1	NO_R1_FACTOR
F9-R1	13	2	2	DEFAULT
F9-R1	13	2	3	NO_R2_CANON
F9-R1	13	2	4	NO_R1_NO_R2
F9-R1	13	4	1	NO_R1_NO_R2
F9-R1	13	4	2	NO_R2_CANON
F9-R1	13	4	3	DEFAULT
F9-R1	13	4	4	NO_R1_FACTOR
F9-R1	13	8	1	DEFAULT
F9-R1	13	8	2	NO_R1_NO_R2
F9-R1	13	8	3	NO_R1_FACTOR
F9-R1	13	8	4	NO_R2_CANON
F9-R1	13	16	1	DEFAULT
F9-R1	13	16	2	NO_R1_NO_R2
F9-R1	13	16	3	NO_R2_CANON
F9-R1	13	16	4	NO_R1_FACTOR
F9-R1	13	32	1	NO_R1_FACTOR
F9-R1	13	32	2	NO_R1_NO_R2
F9-R1	13	32	3	DEFAULT
F9-R1	13	32	4	NO_R2_CANON
F9-R1	14	1	1	NO_R1_FACTOR
F9-R1	14	1	2	NO_R2_CANON
F9-R1	14	1	3	NO_R1_NO_R2
F9-R1	14	1	4	DEFAULT
F9-R1	14	2	1	NO_R1_FACTOR
F9-R1	14	2	2	NO_R2_CANON
F9-R1	14	2	3	DEFAULT
F9-R1	14	2	4	NO_R1_NO_R2
F9-R1	14	4	1	NO_R2_CANON
F9-R1	14	4	2	NO_R1_FACTOR
F9-R1	14	4	3	DEFAULT
F9-R1	14	4	4	NO_R1_NO_R2
F9-R1	14	8	1	NO_R2_CANON
F9-R1	14	8	2	NO_R1_NO_R2
F9-R1	14	8	3	DEFAULT
F9-R1	14	8	4	NO_R1_FACTOR
F9-R1	14	16	1	NO_R1_FACTOR
F9-R1	14	16	2	NO_R1_NO_R2
F9-R1	14	16	3	NO_R2_CANON
F9-R1	14	16	4	DEFAULT
F9-R1	14	32	1	NO_R1_NO_R2
F9-R1	14	32	2	NO_R1_FACTOR
F9-R1	14	32	3	DEFAULT
F9-R1	14	32	4	NO_R2_CANON
F9-R1	15	1	1	NO_R1_NO_R2
F9-R1	15	1	2	DEFAULT
F9-R1	15	1	3	NO_R1_FACTOR
F9-R1	15	1	4	NO_R2_CANON
F9-R1	15	2	1	NO_R1_NO_R2
F9-R1	15	2	2	NO_R1_FACTOR
F9-R1	15	2	3	NO_R2_CANON
F9-R1	15	2	4	DEFAULT
F9-R1	15	4	1	NO_R1_FACTOR
F9-R1	15	4	2	NO_R1_NO_R2
F9-R1	15	4	3	NO_R2_CANON
F9-R1	15	4	4	DEFAULT
F9-R1	15	8	1	NO_R2_CANON
F9-R1	15	8	2	NO_R1_FACTOR
F9-R1	15	8	3	NO_R1_NO_R2
F9-R1	15	8	4	DEFAULT
F9-R1	15	16	1	NO_R1_NO_R2
F9-R1	15	16	2	NO_R2_CANON
F9-R1	15	16	3	NO_R1_FACTOR
F9-R1	15	16	4	DEFAULT
F9-R1	15	32	1	NO_R1_FACTOR
F9-R1	15	32	2	NO_R1_NO_R2
F9-R1	15	32	3	NO_R2_CANON
F9-R1	15	32	4	DEFAULT
F9-R1	16	1	1	NO_R1_FACTOR
F9-R1	16	1	2	DEFAULT
F9-R1	16	1	3	NO_R2_CANON
F9-R1	16	1	4	NO_R1_NO_R2
F9-R1	16	2	1	DEFAULT
F9-R1	16	2	2	NO_R2_CANON
F9-R1	16	2	3	NO_R1_FACTOR
F9-R1	16	2	4	NO_R1_NO_R2
F9-R1	16	4	1	NO_R1_FACTOR
F9-R1	16	4	2	NO_R1_NO_R2
F9-R1	16	4	3	DEFAULT
F9-R1	16	4	4	NO_R2_CANON
F9-R1	16	8	1	NO_R1_FACTOR
F9-R1	16	8	2	NO_R1_NO_R2
F9-R1	16	8	3	DEFAULT
F9-R1	16	8	4	NO_R2_CANON
F9-R1	16	16	1	NO_R1_NO_R2
F9-R1	16	16	2	NO_R1_FACTOR
F9-R1	16	16	3	NO_R2_CANON
F9-R1	16	16	4	DEFAULT
F9-R1	16	32	1	NO_R1_NO_R2
F9-R1	16	32	2	NO_R1_FACTOR
F9-R1	16	32	3	DEFAULT
F9-R1	16	32	4	NO_R2_CANON
F9-R1	17	1	1	NO_R1_FACTOR
F9-R1	17	1	2	NO_R2_CANON
F9-R1	17	1	3	NO_R1_NO_R2
F9-R1	17	1	4	DEFAULT
F9-R1	17	2	1	DEFAULT
F9-R1	17	2	2	NO_R2_CANON
F9-R1	17	2	3	NO_R1_FACTOR
F9-R1	17	2	4	NO_R1_NO_R2
F9-R1	17	4	1	NO_R1_FACTOR
F9-R1	17	4	2	NO_R1_NO_R2
F9-R1	17	4	3	NO_R2_CANON
F9-R1	17	4	4	DEFAULT
F9-R1	17	8	1	DEFAULT
F9-R1	17	8	2	NO_R2_CANON
F9-R1	17	8	3	NO_R1_NO_R2
F9-R1	17	8	4	NO_R1_FACTOR
F9-R1	17	16	1	NO_R1_FACTOR
F9-R1	17	16	2	NO_R1_NO_R2
F9-R1	17	16	3	NO_R2_CANON
F9-R1	17	16	4	DEFAULT
F9-R1	17	32	1	NO_R2_CANON
F9-R1	17	32	2	DEFAULT
F9-R1	17	32	3	NO_R1_NO_R2
F9-R1	17	32	4	NO_R1_FACTOR
F9-R1	18	1	1	DEFAULT
F9-R1	18	1	2	NO_R1_FACTOR
F9-R1	18	1	3	NO_R1_NO_R2
F9-R1	18	1	4	NO_R2_CANON
F9-R1	18	2	1	DEFAULT
F9-R1	18	2	2	NO_R2_CANON
F9-R1	18	2	3	NO_R1_NO_R2
F9-R1	18	2	4	NO_R1_FACTOR
F9-R1	18	4	1	NO_R1_FACTOR
F9-R1	18	4	2	NO_R1_NO_R2
F9-R1	18	4	3	NO_R2_CANON
F9-R1	18	4	4	DEFAULT
F9-R1	18	8	1	DEFAULT
F9-R1	18	8	2	NO_R1_NO_R2
F9-R1	18	8	3	NO_R1_FACTOR
F9-R1	18	8	4	NO_R2_CANON
F9-R1	18	16	1	NO_R1_FACTOR
F9-R1	18	16	2	DEFAULT
F9-R1	18	16	3	NO_R1_NO_R2
F9-R1	18	16	4	NO_R2_CANON
F9-R1	18	32	1	DEFAULT
F9-R1	18	32	2	NO_R1_FACTOR
F9-R1	18	32	3	NO_R2_CANON
F9-R1	18	32	4	NO_R1_NO_R2
F9-R1	19	1	1	DEFAULT
F9-R1	19	1	2	NO_R2_CANON
F9-R1	19	1	3	NO_R1_FACTOR
F9-R1	19	1	4	NO_R1_NO_R2
F9-R1	19	2	1	NO_R2_CANON
F9-R1	19	2	2	NO_R1_NO_R2
F9-R1	19	2	3	DEFAULT
F9-R1	19	2	4	NO_R1_FACTOR
F9-R1	19	4	1	NO_R1_FACTOR
F9-R1	19	4	2	NO_R1_NO_R2
F9-R1	19	4	3	NO_R2_CANON
F9-R1	19	4	4	DEFAULT
F9-R1	19	8	1	NO_R2_CANON
F9-R1	19	8	2	NO_R1_FACTOR
F9-R1	19	8	3	DEFAULT
F9-R1	19	8	4	NO_R1_NO_R2
F9-R1	19	16	1	NO_R1_NO_R2
F9-R1	19	16	2	NO_R1_FACTOR
F9-R1	19	16	3	DEFAULT
F9-R1	19	16	4	NO_R2_CANON
F9-R1	19	32	1	NO_R1_NO_R2
F9-R1	19	32	2	NO_R2_CANON
F9-R1	19	32	3	DEFAULT
F9-R1	19	32	4	NO_R1_FACTOR
F9-R1	20	1	1	NO_R2_CANON
F9-R1	20	1	2	NO_R1_NO_R2
F9-R1	20	1	3	NO_R1_FACTOR
F9-R1	20	1	4	DEFAULT
F9-R1	20	2	1	NO_R2_CANON
F9-R1	20	2	2	NO_R1_NO_R2
F9-R1	20	2	3	NO_R1_FACTOR
F9-R1	20	2	4	DEFAULT
F9-R1	20	4	1	NO_R1_NO_R2
F9-R1	20	4	2	DEFAULT
F9-R1	20	4	3	NO_R1_FACTOR
F9-R1	20	4	4	NO_R2_CANON
F9-R1	20	8	1	NO_R2_CANON
F9-R1	20	8	2	NO_R1_NO_R2
F9-R1	20	8	3	NO_R1_FACTOR
F9-R1	20	8	4	DEFAULT
F9-R1	20	16	1	NO_R2_CANON
F9-R1	20	16	2	NO_R1_FACTOR
F9-R1	20	16	3	NO_R1_NO_R2
F9-R1	20	16	4	DEFAULT
F9-R1	20	32	1	NO_R1_FACTOR
F9-R1	20	32	2	NO_R2_CANON
F9-R1	20	32	3	DEFAULT
F9-R1	20	32	4	NO_R1_NO_R2
F9-X	1	1	1	NO_R1_FACTOR
F9-X	1	1	2	NO_R2_CANON
F9-X	1	1	3	NO_R1_NO_R2
F9-X	1	1	4	DEFAULT
F9-X	1	2	1	NO_R1_FACTOR
F9-X	1	2	2	DEFAULT
F9-X	1	2	3	NO_R2_CANON
F9-X	1	2	4	NO_R1_NO_R2
F9-X	1	4	1	NO_R1_NO_R2
F9-X	1	4	2	NO_R1_FACTOR
F9-X	1	4	3	NO_R2_CANON
F9-X	1	4	4	DEFAULT
F9-X	1	8	1	NO_R1_FACTOR
F9-X	1	8	2	NO_R2_CANON
F9-X	1	8	3	NO_R1_NO_R2
F9-X	1	8	4	DEFAULT
F9-X	1	16	1	NO_R1_NO_R2
F9-X	1	16	2	NO_R2_CANON
F9-X	1	16	3	DEFAULT
F9-X	1	16	4	NO_R1_FACTOR
F9-X	1	32	1	NO_R1_FACTOR
F9-X	1	32	2	NO_R1_NO_R2
F9-X	1	32	3	NO_R2_CANON
F9-X	1	32	4	DEFAULT
F9-X	2	1	1	DEFAULT
F9-X	2	1	2	NO_R1_FACTOR
F9-X	2	1	3	NO_R2_CANON
F9-X	2	1	4	NO_R1_NO_R2
F9-X	2	2	1	NO_R1_FACTOR
F9-X	2	2	2	DEFAULT
F9-X	2	2	3	NO_R2_CANON
F9-X	2	2	4	NO_R1_NO_R2
F9-X	2	4	1	NO_R1_NO_R2
F9-X	2	4	2	NO_R1_FACTOR
F9-X	2	4	3	NO_R2_CANON
F9-X	2	4	4	DEFAULT
F9-X	2	8	1	NO_R2_CANON
F9-X	2	8	2	NO_R1_NO_R2
F9-X	2	8	3	DEFAULT
F9-X	2	8	4	NO_R1_FACTOR
F9-X	2	16	1	NO_R2_CANON
F9-X	2	16	2	NO_R1_NO_R2
F9-X	2	16	3	DEFAULT
F9-X	2	16	4	NO_R1_FACTOR
F9-X	2	32	1	DEFAULT
F9-X	2	32	2	NO_R2_CANON
F9-X	2	32	3	NO_R1_NO_R2
F9-X	2	32	4	NO_R1_FACTOR
F9-X	3	1	1	NO_R1_FACTOR
F9-X	3	1	2	NO_R2_CANON
F9-X	3	1	3	NO_R1_NO_R2
F9-X	3	1	4	DEFAULT
F9-X	3	2	1	NO_R2_CANON
F9-X	3	2	2	NO_R1_NO_R2
F9-X	3	2	3	DEFAULT
F9-X	3	2	4	NO_R1_FACTOR
F9-X	3	4	1	NO_R2_CANON
F9-X	3	4	2	NO_R1_NO_R2
F9-X	3	4	3	NO_R1_FACTOR
F9-X	3	4	4	DEFAULT
F9-X	3	8	1	NO_R1_FACTOR
F9-X	3	8	2	DEFAULT
F9-X	3	8	3	NO_R1_NO_R2
F9-X	3	8	4	NO_R2_CANON
F9-X	3	16	1	NO_R1_NO_R2
F9-X	3	16	2	NO_R2_CANON
F9-X	3	16	3	NO_R1_FACTOR
F9-X	3	16	4	DEFAULT
F9-X	3	32	1	NO_R1_FACTOR
F9-X	3	32	2	NO_R2_CANON
F9-X	3	32	3	DEFAULT
F9-X	3	32	4	NO_R1_NO_R2
F9-X	4	1	1	DEFAULT
F9-X	4	1	2	NO_R1_NO_R2
F9-X	4	1	3	NO_R2_CANON
F9-X	4	1	4	NO_R1_FACTOR
F9-X	4	2	1	NO_R2_CANON
F9-X	4	2	2	NO_R1_NO_R2
F9-X	4	2	3	NO_R1_FACTOR
F9-X	4	2	4	DEFAULT
F9-X	4	4	1	DEFAULT
F9-X	4	4	2	NO_R1_NO_R2
F9-X	4	4	3	NO_R2_CANON
F9-X	4	4	4	NO_R1_FACTOR
F9-X	4	8	1	NO_R1_FACTOR
F9-X	4	8	2	NO_R1_NO_R2
F9-X	4	8	3	NO_R2_CANON
F9-X	4	8	4	DEFAULT
F9-X	4	16	1	DEFAULT
F9-X	4	16	2	NO_R2_CANON
F9-X	4	16	3	NO_R1_NO_R2
F9-X	4	16	4	NO_R1_FACTOR
F9-X	4	32	1	NO_R1_FACTOR
F9-X	4	32	2	NO_R1_NO_R2
F9-X	4	32	3	DEFAULT
F9-X	4	32	4	NO_R2_CANON
F9-X	5	1	1	NO_R2_CANON
F9-X	5	1	2	NO_R1_FACTOR
F9-X	5	1	3	DEFAULT
F9-X	5	1	4	NO_R1_NO_R2
F9-X	5	2	1	NO_R1_FACTOR
F9-X	5	2	2	NO_R1_NO_R2
F9-X	5	2	3	NO_R2_CANON
F9-X	5	2	4	DEFAULT
F9-X	5	4	1	NO_R1_NO_R2
F9-X	5	4	2	DEFAULT
F9-X	5	4	3	NO_R2_CANON
F9-X	5	4	4	NO_R1_FACTOR
F9-X	5	8	1	NO_R1_NO_R2
F9-X	5	8	2	DEFAULT
F9-X	5	8	3	NO_R2_CANON
F9-X	5	8	4	NO_R1_FACTOR
F9-X	5	16	1	NO_R2_CANON
F9-X	5	16	2	NO_R1_NO_R2
F9-X	5	16	3	DEFAULT
F9-X	5	16	4	NO_R1_FACTOR
F9-X	5	32	1	NO_R1_FACTOR
F9-X	5	32	2	NO_R1_NO_R2
F9-X	5	32	3	DEFAULT
F9-X	5	32	4	NO_R2_CANON
F9-X	6	1	1	NO_R2_CANON
F9-X	6	1	2	DEFAULT
F9-X	6	1	3	NO_R1_FACTOR
F9-X	6	1	4	NO_R1_NO_R2
F9-X	6	2	1	DEFAULT
F9-X	6	2	2	NO_R1_NO_R2
F9-X	6	2	3	NO_R1_FACTOR
F9-X	6	2	4	NO_R2_CANON
F9-X	6	4	1	NO_R2_CANON
F9-X	6	4	2	NO_R1_NO_R2
F9-X	6	4	3	DEFAULT
F9-X	6	4	4	NO_R1_FACTOR
F9-X	6	8	1	NO_R1_NO_R2
F9-X	6	8	2	DEFAULT
F9-X	6	8	3	NO_R1_FACTOR
F9-X	6	8	4	NO_R2_CANON
F9-X	6	16	1	NO_R1_NO_R2
F9-X	6	16	2	NO_R2_CANON
F9-X	6	16	3	NO_R1_FACTOR
F9-X	6	16	4	DEFAULT
F9-X	6	32	1	NO_R1_NO_R2
F9-X	6	32	2	DEFAULT
F9-X	6	32	3	NO_R1_FACTOR
F9-X	6	32	4	NO_R2_CANON
F9-X	7	1	1	NO_R1_NO_R2
F9-X	7	1	2	DEFAULT
F9-X	7	1	3	NO_R2_CANON
F9-X	7	1	4	NO_R1_FACTOR
F9-X	7	2	1	DEFAULT
F9-X	7	2	2	NO_R2_CANON
F9-X	7	2	3	NO_R1_NO_R2
F9-X	7	2	4	NO_R1_FACTOR
F9-X	7	4	1	DEFAULT
F9-X	7	4	2	NO_R1_FACTOR
F9-X	7	4	3	NO_R2_CANON
F9-X	7	4	4	NO_R1_NO_R2
F9-X	7	8	1	NO_R1_NO_R2
F9-X	7	8	2	NO_R2_CANON
F9-X	7	8	3	DEFAULT
F9-X	7	8	4	NO_R1_FACTOR
F9-X	7	16	1	NO_R1_FACTOR
F9-X	7	16	2	DEFAULT
F9-X	7	16	3	NO_R2_CANON
F9-X	7	16	4	NO_R1_NO_R2
F9-X	7	32	1	NO_R1_NO_R2
F9-X	7	32	2	NO_R2_CANON
F9-X	7	32	3	NO_R1_FACTOR
F9-X	7	32	4	DEFAULT
F9-X	8	1	1	NO_R1_FACTOR
F9-X	8	1	2	NO_R2_CANON
F9-X	8	1	3	DEFAULT
F9-X	8	1	4	NO_R1_NO_R2
F9-X	8	2	1	NO_R1_NO_R2
F9-X	8	2	2	DEFAULT
F9-X	8	2	3	NO_R2_CANON
F9-X	8	2	4	NO_R1_FACTOR
F9-X	8	4	1	NO_R1_FACTOR
F9-X	8	4	2	DEFAULT
F9-X	8	4	3	NO_R1_NO_R2
F9-X	8	4	4	NO_R2_CANON
F9-X	8	8	1	NO_R1_NO_R2
F9-X	8	8	2	DEFAULT
F9-X	8	8	3	NO_R1_FACTOR
F9-X	8	8	4	NO_R2_CANON
F9-X	8	16	1	NO_R2_CANON
F9-X	8	16	2	DEFAULT
F9-X	8	16	3	NO_R1_FACTOR
F9-X	8	16	4	NO_R1_NO_R2
F9-X	8	32	1	NO_R1_FACTOR
F9-X	8	32	2	NO_R1_NO_R2
F9-X	8	32	3	NO_R2_CANON
F9-X	8	32	4	DEFAULT
F9-X	9	1	1	NO_R1_FACTOR
F9-X	9	1	2	NO_R1_NO_R2
F9-X	9	1	3	DEFAULT
F9-X	9	1	4	NO_R2_CANON
F9-X	9	2	1	NO_R2_CANON
F9-X	9	2	2	DEFAULT
F9-X	9	2	3	NO_R1_NO_R2
F9-X	9	2	4	NO_R1_FACTOR
F9-X	9	4	1	NO_R2_CANON
F9-X	9	4	2	DEFAULT
F9-X	9	4	3	NO_R1_FACTOR
F9-X	9	4	4	NO_R1_NO_R2
F9-X	9	8	1	NO_R2_CANON
F9-X	9	8	2	NO_R1_FACTOR
F9-X	9	8	3	NO_R1_NO_R2
F9-X	9	8	4	DEFAULT
F9-X	9	16	1	NO_R1_NO_R2
F9-X	9	16	2	NO_R1_FACTOR
F9-X	9	16	3	NO_R2_CANON
F9-X	9	16	4	DEFAULT
F9-X	9	32	1	DEFAULT
F9-X	9	32	2	NO_R2_CANON
F9-X	9	32	3	NO_R1_NO_R2
F9-X	9	32	4	NO_R1_FACTOR
F9-X	10	1	1	NO_R1_FACTOR
F9-X	10	1	2	NO_R2_CANON
F9-X	10	1	3	DEFAULT
F9-X	10	1	4	NO_R1_NO_R2
F9-X	10	2	1	NO_R1_FACTOR
F9-X	10	2	2	DEFAULT
F9-X	10	2	3	NO_R2_CANON
F9-X	10	2	4	NO_R1_NO_R2
F9-X	10	4	1	NO_R2_CANON
F9-X	10	4	2	NO_R1_NO_R2
F9-X	10	4	3	DEFAULT
F9-X	10	4	4	NO_R1_FACTOR
F9-X	10	8	1	DEFAULT
F9-X	10	8	2	NO_R2_CANON
F9-X	10	8	3	NO_R1_FACTOR
F9-X	10	8	4	NO_R1_NO_R2
F9-X	10	16	1	NO_R1_FACTOR
F9-X	10	16	2	DEFAULT
F9-X	10	16	3	NO_R1_NO_R2
F9-X	10	16	4	NO_R2_CANON
F9-X	10	32	1	NO_R1_NO_R2
F9-X	10	32	2	NO_R2_CANON
F9-X	10	32	3	NO_R1_FACTOR
F9-X	10	32	4	DEFAULT
F9-X	11	1	1	NO_R1_FACTOR
F9-X	11	1	2	DEFAULT
F9-X	11	1	3	NO_R1_NO_R2
F9-X	11	1	4	NO_R2_CANON
F9-X	11	2	1	NO_R1_FACTOR
F9-X	11	2	2	DEFAULT
F9-X	11	2	3	NO_R1_NO_R2
F9-X	11	2	4	NO_R2_CANON
F9-X	11	4	1	NO_R1_FACTOR
F9-X	11	4	2	DEFAULT
F9-X	11	4	3	NO_R2_CANON
F9-X	11	4	4	NO_R1_NO_R2
F9-X	11	8	1	NO_R1_FACTOR
F9-X	11	8	2	NO_R1_NO_R2
F9-X	11	8	3	DEFAULT
F9-X	11	8	4	NO_R2_CANON
F9-X	11	16	1	NO_R1_NO_R2
F9-X	11	16	2	DEFAULT
F9-X	11	16	3	NO_R2_CANON
F9-X	11	16	4	NO_R1_FACTOR
F9-X	11	32	1	DEFAULT
F9-X	11	32	2	NO_R1_NO_R2
F9-X	11	32	3	NO_R1_FACTOR
F9-X	11	32	4	NO_R2_CANON
F9-X	12	1	1	DEFAULT
F9-X	12	1	2	NO_R1_NO_R2
F9-X	12	1	3	NO_R1_FACTOR
F9-X	12	1	4	NO_R2_CANON
F9-X	12	2	1	NO_R1_NO_R2
F9-X	12	2	2	DEFAULT
F9-X	12	2	3	NO_R2_CANON
F9-X	12	2	4	NO_R1_FACTOR
F9-X	12	4	1	NO_R1_NO_R2
F9-X	12	4	2	NO_R2_CANON
F9-X	12	4	3	DEFAULT
F9-X	12	4	4	NO_R1_FACTOR
F9-X	12	8	1	NO_R1_NO_R2
F9-X	12	8	2	NO_R1_FACTOR
F9-X	12	8	3	DEFAULT
F9-X	12	8	4	NO_R2_CANON
F9-X	12	16	1	NO_R1_FACTOR
F9-X	12	16	2	NO_R2_CANON
F9-X	12	16	3	DEFAULT
F9-X	12	16	4	NO_R1_NO_R2
F9-X	12	32	1	NO_R1_FACTOR
F9-X	12	32	2	NO_R2_CANON
F9-X	12	32	3	DEFAULT
F9-X	12	32	4	NO_R1_NO_R2
F9-X	13	1	1	NO_R1_NO_R2
F9-X	13	1	2	NO_R1_FACTOR
F9-X	13	1	3	NO_R2_CANON
F9-X	13	1	4	DEFAULT
F9-X	13	2	1	NO_R1_FACTOR
F9-X	13	2	2	NO_R2_CANON
F9-X	13	2	3	DEFAULT
F9-X	13	2	4	NO_R1_NO_R2
F9-X	13	4	1	NO_R2_CANON
F9-X	13	4	2	NO_R1_FACTOR
F9-X	13	4	3	NO_R1_NO_R2
F9-X	13	4	4	DEFAULT
F9-X	13	8	1	NO_R1_FACTOR
F9-X	13	8	2	NO_R2_CANON
F9-X	13	8	3	DEFAULT
F9-X	13	8	4	NO_R1_NO_R2
F9-X	13	16	1	NO_R1_NO_R2
F9-X	13	16	2	DEFAULT
F9-X	13	16	3	NO_R1_FACTOR
F9-X	13	16	4	NO_R2_CANON
F9-X	13	32	1	NO_R1_NO_R2
F9-X	13	32	2	DEFAULT
